YR,DOY,HR,Date,AT-1m,P (cm)
2003,132,2300,5/12/03,1.854,0
2003,132,2400,5/12/03,-0.472,0
2003,133,100,5/13/03,-1.84,0
2003,133,200,5/13/03,-1.653,0
2003,133,300,5/13/03,-0.534,0
2003,133,400,5/13/03,-0.386,0
2003,133,500,5/13/03,0.106,0
2003,133,600,5/13/03,0.925,0
2003,133,700,5/13/03,1.748,0
2003,133,800,5/13/03,2.187,0
2003,133,900,5/13/03,2.807,0
2003,133,1000,5/13/03,3.669,0
2003,133,1100,5/13/03,5.697,0
2003,133,1200,5/13/03,8.28,0
2003,133,1300,5/13/03,7.8,1.524
2003,133,1400,5/13/03,8.93,0.508
2003,133,1500,5/13/03,11.56,0
2003,133,1600,5/13/03,13.23,0
2003,133,1700,5/13/03,12.61,0.508
2003,133,1800,5/13/03,11.88,0
2003,133,1900,5/13/03,11.85,0
2003,133,2000,5/13/03,11.19,0
2003,133,2100,5/13/03,10.2,0
2003,133,2200,5/13/03,8.35,0
2003,133,2300,5/13/03,4.268,0
2003,133,2400,5/13/03,2.387,0
2003,134,100,5/14/03,1.39,0
2003,134,200,5/14/03,0.625,0
2003,134,300,5/14/03,-0.108,0
2003,134,400,5/14/03,-2.07,0
2003,134,500,5/14/03,-1.251,0
2003,134,600,5/14/03,-1.07,0
2003,134,700,5/14/03,-0.327,0
2003,134,800,5/14/03,1.972,0
2003,134,900,5/14/03,4.868,0
2003,134,1000,5/14/03,8.19,0
2003,134,1100,5/14/03,10.41,0
2003,144,1800,5/24/03,-10.03,8.382
2003,144,1900,5/24/03,-10.28,0
2003,144,2000,5/24/03,-11.44,0
2003,144,2100,5/24/03,-10.93,0
2003,144,2200,5/24/03,-10.83,0
2003,144,2300,5/24/03,-11.98,0
2003,144,2400,5/24/03,-12.28,0
2003,145,100,5/25/03,-12.7,0
2003,145,200,5/25/03,-13.15,0
2003,145,300,5/25/03,-13.66,0
2003,145,400,5/25/03,-13.84,0
2003,145,500,5/25/03,-13.98,0
2003,145,600,5/25/03,-13.82,0
2003,145,700,5/25/03,-13.48,0
2003,145,800,5/25/03,-12.71,0
2003,145,900,5/25/03,-11.61,0
2003,145,1000,5/25/03,-10.94,0
2003,145,1100,5/25/03,-10.12,0
2003,145,1200,5/25/03,-10.04,0
2003,145,1300,5/25/03,-9.5,0
2003,145,1400,5/25/03,-7.88,0
2003,145,1500,5/25/03,-8.09,0
2003,145,1600,5/25/03,-7.96,0
2003,145,1700,5/25/03,-8.52,0
2003,145,1800,5/25/03,-8.53,0
2003,145,1900,5/25/03,-8.94,0
2003,145,2000,5/25/03,-9.4,0
2003,145,2100,5/25/03,-9.74,0
2003,145,2200,5/25/03,-10.18,0
2003,145,2300,5/25/03,-10.71,0
2003,145,2400,5/25/03,-11.02,0
2003,146,100,5/26/03,-11.63,0
2003,146,200,5/26/03,-11.29,0
2003,146,300,5/26/03,-10.98,0
2003,146,400,5/26/03,-11.16,0
2003,146,500,5/26/03,-11.39,0
2003,146,600,5/26/03,-11.16,0
2003,146,700,5/26/03,-10.53,0
2003,146,800,5/26/03,-9.82,0
2003,146,900,5/26/03,-8.71,0
2003,146,1000,5/26/03,-8.17,0
2003,146,1100,5/26/03,-7.49,0
2003,146,1200,5/26/03,-6.717,0
2003,146,1300,5/26/03,-6.239,0
2003,146,1400,5/26/03,-5.763,0
2003,146,1500,5/26/03,-6.005,0
2003,146,1600,5/26/03,-5.263,0
2003,146,1700,5/26/03,-5.026,0
2003,146,1800,5/26/03,-4.721,0
2003,146,1900,5/26/03,-4.724,0
2003,146,2000,5/26/03,-4.914,0
2003,146,2100,5/26/03,-5.07,0
2003,146,2200,5/26/03,-5.089,0
2003,146,2300,5/26/03,-5.257,0
2003,146,2400,5/26/03,-4.9,0
2003,147,100,5/27/03,-4.918,0
2003,147,200,5/27/03,-4.955,0
2003,147,300,5/27/03,-4.794,0
2003,147,400,5/27/03,-4.799,0
2003,147,500,5/27/03,-4.372,0
2003,147,600,5/27/03,-4.357,0
2003,147,700,5/27/03,-4.667,0
2003,147,800,5/27/03,-4.729,0
2003,147,900,5/27/03,-4.793,0
2003,147,1000,5/27/03,-4.498,0
2003,147,1100,5/27/03,-4.177,0
2003,147,1200,5/27/03,-3.603,0
2003,147,1300,5/27/03,-3.396,0
2003,147,1400,5/27/03,-3.593,0
2003,147,1500,5/27/03,-3.92,0
2003,147,1600,5/27/03,-4.456,0
2003,147,1700,5/27/03,-4.631,0
2003,147,1800,5/27/03,-4.9,0
2003,147,1900,5/27/03,-4.981,0
2003,147,2000,5/27/03,-5.316,0
2003,147,2100,5/27/03,-5.296,0
2003,147,2200,5/27/03,-5.423,0
2003,147,2300,5/27/03,-5.697,0
2003,147,2400,5/27/03,-5.502,0
2003,148,100,5/28/03,-5.465,0
2003,148,200,5/28/03,-5.78,0
2003,148,300,5/28/03,-5.929,0
2003,148,400,5/28/03,-5.976,0
2003,148,500,5/28/03,-6.163,0
2003,148,600,5/28/03,-6.255,0
2003,148,700,5/28/03,-6.142,0
2003,148,800,5/28/03,-6.048,0
2003,148,900,5/28/03,-6.251,0
2003,148,1000,5/28/03,-5.998,0
2003,148,1100,5/28/03,-5.495,0
2003,148,1200,5/28/03,-5.395,0
2003,148,1300,5/28/03,-5.421,0
2003,148,1400,5/28/03,-5.586,0
2003,148,1500,5/28/03,-5.719,0
2003,148,1600,5/28/03,-5.725,0
2003,148,1700,5/28/03,-5.812,0
2003,148,1800,5/28/03,-6.04,0
2003,148,1900,5/28/03,-6.037,0
2003,148,2000,5/28/03,-6.336,0
2003,148,2100,5/28/03,-6.533,0
2003,148,2200,5/28/03,-6.645,0
2003,148,2300,5/28/03,-6.849,0
2003,148,2400,5/28/03,-7.04,0
2003,149,100,5/29/03,-7.1,0
2003,149,200,5/29/03,-7.28,0
2003,149,300,5/29/03,-7.59,0
2003,149,400,5/29/03,-7.86,0
2003,149,500,5/29/03,-7.93,0
2003,149,600,5/29/03,-8.08,0
2003,149,700,5/29/03,-8.04,0
2003,149,800,5/29/03,-7.85,0
2003,149,900,5/29/03,-7.51,0
2003,149,1000,5/29/03,-7.25,0
2003,149,1100,5/29/03,-6.599,0.254
2003,149,1200,5/29/03,-6.27,0.254
2003,149,1300,5/29/03,-6.435,0
2003,149,1400,5/29/03,-6.246,0
2003,149,1500,5/29/03,-5.828,0
2003,149,1600,5/29/03,-6.75,0
2003,149,1700,5/29/03,-6.926,0
2003,149,1800,5/29/03,-8.14,0
2003,149,1900,5/29/03,-8.15,0
2003,149,2000,5/29/03,-8.82,0
2003,149,2100,5/29/03,-9.68,0
2003,149,2200,5/29/03,-9.91,0
2003,149,2300,5/29/03,-10.07,0
2003,149,2400,5/29/03,-10.76,0
2003,150,100,5/30/03,-11.2,0
2003,150,200,5/30/03,-10.78,0
2003,150,300,5/30/03,-9.47,0
2003,150,400,5/30/03,-8.28,0
2003,150,500,5/30/03,-7.88,0
