YR,DOY,HR,Date,AT-1m,P (cm)
2003,150,600,5/30/03,-6.926,0
2003,150,700,5/30/03,-6.448,0
2003,150,800,5/30/03,-5.627,0
2003,150,900,5/30/03,-5.268,0
2003,150,1000,5/30/03,-4.676,0
2003,150,1100,5/30/03,-4.197,0
2003,150,1200,5/30/03,-4.233,0
2003,150,1300,5/30/03,-3.416,0
2003,150,1400,5/30/03,-2.078,0
2003,150,1500,5/30/03,-1.349,0
2003,150,1600,5/30/03,-1.981,0.508
2003,150,1700,5/30/03,-1.737,1.016
2003,150,1800,5/30/03,-2.407,0.254
2003,150,1900,5/30/03,-2.402,0.254
2003,150,2000,5/30/03,-2.65,0
2003,150,2100,5/30/03,-3.303,0
2003,150,2200,5/30/03,-3.943,0
2003,150,2300,5/30/03,-3.17,0
2003,150,2400,5/30/03,-3.029,0
2003,151,100,5/31/03,-2.846,0
2003,151,200,5/31/03,-2.703,0
2003,151,300,5/31/03,-2.233,0
2003,151,400,5/31/03,-2.017,0
2003,151,500,5/31/03,-1.812,0
2003,151,600,5/31/03,-1.614,0
2003,151,700,5/31/03,-0.77,0
2003,151,800,5/31/03,0.788,0
2003,151,900,5/31/03,0.664,0
2003,151,1000,5/31/03,0.552,0
2003,151,1100,5/31/03,1.683,0
2003,151,1200,5/31/03,2.102,0
2003,151,1300,5/31/03,2.686,0
2003,151,1400,5/31/03,2.348,0
2003,151,1500,5/31/03,2.694,0
2003,151,1600,5/31/03,3.088,0
2003,151,1700,5/31/03,3.055,0
2003,151,1800,5/31/03,2.502,0
2003,151,1900,5/31/03,2.551,0
2003,151,2000,5/31/03,2.005,0
2003,151,2100,5/31/03,1.721,0
2003,151,2200,5/31/03,0.704,0
2003,151,2300,5/31/03,0.187,0
2003,151,2400,5/31/03,-0.361,0
2003,152,100,6/1/03,-0.531,0
2003,152,200,6/1/03,-0.617,0
2003,152,300,6/1/03,-0.654,0
2003,152,400,6/1/03,-0.988,0
2003,152,500,6/1/03,-1.083,0
2003,152,600,6/1/03,-1.115,0
2003,152,700,6/1/03,-0.81,0
2003,152,800,6/1/03,0.165,0
2003,152,900,6/1/03,0.659,0
2003,152,1000,6/1/03,0.977,0
2003,152,1100,6/1/03,1.12,0
2003,152,1200,6/1/03,1.382,0
2003,152,1300,6/1/03,1.895,0
2003,152,1400,6/1/03,2.431,0
2003,152,1500,6/1/03,2.896,0
2003,152,1600,6/1/03,3.771,0
2003,152,1700,6/1/03,4.946,0
2003,152,1800,6/1/03,4.514,0
2003,152,1900,6/1/03,3.688,0
2003,152,2000,6/1/03,1.202,0
2003,152,2100,6/1/03,1.18,0
2003,152,2200,6/1/03,1.349,0
2003,152,2300,6/1/03,0.838,0
2003,152,2400,6/1/03,0.091,0
2003,153,100,6/2/03,-0.474,0
2003,153,200,6/2/03,-0.941,0
2003,153,300,6/2/03,-1.088,0
2003,153,400,6/2/03,-1.208,0
2003,153,500,6/2/03,-1.488,0
2003,153,600,6/2/03,-1.793,0
2003,153,700,6/2/03,-1.694,0
2003,153,800,6/2/03,-2.174,0
2003,153,900,6/2/03,-1.864,0
2003,153,1000,6/2/03,-1.754,0
2003,153,1100,6/2/03,-2.4,0
2003,153,1200,6/2/03,-2.235,0
2003,153,1300,6/2/03,-1.92,0
2003,153,1400,6/2/03,-1.85,0
2003,153,1500,6/2/03,-1.463,0
2003,153,1600,6/2/03,-1.913,0
2003,153,1700,6/2/03,-2.152,0
2003,153,1800,6/2/03,-3.024,0.508
2003,153,1900,6/2/03,-3.348,0.508
2003,153,2000,6/2/03,-4.312,0.254
2003,153,2100,6/2/03,-5.081,0.254
2003,153,2200,6/2/03,-5.602,0
2003,153,2300,6/2/03,-6.233,0
2003,153,2400,6/2/03,-7.36,0
2003,154,100,6/3/03,-7.45,0
2003,154,200,6/3/03,-7.11,0
2003,154,300,6/3/03,-7.04,0
2003,154,400,6/3/03,-7.01,0
2003,154,500,6/3/03,-7.22,0
2003,154,600,6/3/03,-7.24,0
2003,154,700,6/3/03,-7.12,0
2003,154,800,6/3/03,-6.776,0
2003,154,900,6/3/03,-6.578,0
2003,154,1000,6/3/03,-6.412,0
2003,154,1100,6/3/03,-5.847,0
2003,154,1200,6/3/03,-5.378,0
2003,154,1300,6/3/03,-5.247,0.508
2003,154,1400,6/3/03,-4.77,0.254
2003,154,1500,6/3/03,-4.428,0
2003,154,1600,6/3/03,-5.228,0
2003,154,1700,6/3/03,-5.062,0
2003,154,1800,6/3/03,-4.607,0
2003,154,1900,6/3/03,-4.946,0
2003,154,2000,6/3/03,-4.721,0
2003,154,2100,6/3/03,-5.373,0
2003,154,2200,6/3/03,-5.618,0.508
2003,154,2300,6/3/03,-5.664,0
2003,154,2400,6/3/03,-5.933,0
2003,155,100,6/4/03,-6.125,0
2003,155,200,6/4/03,-6.186,0
2003,155,300,6/4/03,-6.23,0
2003,155,400,6/4/03,-6.281,0
2003,155,500,6/4/03,-6.384,0
2003,155,600,6/4/03,-6.367,0
2003,155,700,6/4/03,-6.167,0
2003,155,800,6/4/03,-5.969,0
2003,155,900,6/4/03,-5.901,0
2003,155,1000,6/4/03,-5.328,0
2003,155,1100,6/4/03,-5.019,0
2003,155,1200,6/4/03,-4.657,0
2003,155,1300,6/4/03,-4.392,0
2003,155,1400,6/4/03,-4.052,0
2003,155,1500,6/4/03,-3.98,0
2003,155,1600,6/4/03,-3.158,0
2003,155,1700,6/4/03,-3.7,0
2003,155,1800,6/4/03,-3.401,0.254
2003,155,1900,6/4/03,-3.679,0
2003,155,2000,6/4/03,-3.868,0
2003,155,2100,6/4/03,-4.024,0
2003,155,2200,6/4/03,-4.021,0
2003,155,2300,6/4/03,-4.745,0
2003,155,2400,6/4/03,-5.857,0
2003,156,100,6/5/03,-6.148,0
2003,156,200,6/5/03,-5.97,0
2003,156,300,6/5/03,-5.834,0
2003,156,400,6/5/03,-6.109,0
2003,156,500,6/5/03,-6.573,0
2003,156,600,6/5/03,-6.979,0
2003,156,700,6/5/03,-6.853,0
2003,156,800,6/5/03,-6.029,0
2003,156,900,6/5/03,-5.231,0
2003,156,1000,6/5/03,-4.308,0.254
2003,156,1100,6/5/03,-3.705,0.254
2003,156,1200,6/5/03,-2.68,0
2003,156,1300,6/5/03,-2.438,0
2003,156,1400,6/5/03,-1.96,0
2003,156,1500,6/5/03,-1.655,0
2003,156,1600,6/5/03,-1.437,0
2003,156,1700,6/5/03,-0.934,0
2003,156,1800,6/5/03,-0.811,0
2003,156,1900,6/5/03,-0.669,1.524
2003,156,2000,6/5/03,-0.537,1.016
2003,156,2100,6/5/03,-0.341,0.508
2003,156,2200,6/5/03,-0.488,0.254
2003,156,2300,6/5/03,-0.476,0
2003,156,2400,6/5/03,-0.566,0
2003,157,100,6/6/03,-0.777,0
2003,157,200,6/6/03,-0.873,0
2003,157,300,6/6/03,-0.312,0
2003,157,400,6/6/03,-0.482,0
2003,157,500,6/6/03,-0.501,0
2003,157,600,6/6/03,-0.511,0
2003,157,700,6/6/03,-0.072,0
2003,157,800,6/6/03,0.796,0
2003,157,900,6/6/03,0.967,0
2003,157,1000,6/6/03,2.332,1.524
2003,157,1100,6/6/03,1.891,0.508
2003,157,1200,6/6/03,2.044,0
2003,157,1300,6/6/03,2.716,0
2003,157,1400,6/6/03,3.472,0
2003,157,1500,6/6/03,4.488,0
2003,157,1600,6/6/03,3.995,0
2003,157,1700,6/6/03,4.193,0
2003,157,1800,6/6/03,3.938,0
2003,157,1900,6/6/03,3.844,0
2003,157,2000,6/6/03,3.595,0
2003,157,2100,6/6/03,3.576,0
2003,157,2200,6/6/03,3.081,0
2003,157,2300,6/6/03,2.249,0
2003,157,2400,6/6/03,1.648,0
2003,158,100,6/7/03,1.121,0
2003,158,200,6/7/03,0.629,0
2003,158,300,6/7/03,0.329,0
2003,158,400,6/7/03,0.57,0
2003,158,500,6/7/03,0.902,0
2003,158,600,6/7/03,1.017,0
2003,158,700,6/7/03,0.992,0
2003,158,800,6/7/03,2.541,0
2003,158,900,6/7/03,1.529,0
2003,158,1000,6/7/03,2.412,0
2003,158,1100,6/7/03,2.733,0
2003,158,1200,6/7/03,2.9,0
2003,158,1300,6/7/03,2.683,0
2003,158,1400,6/7/03,2.804,0
2003,158,1500,6/7/03,2.844,0
2003,158,1600,6/7/03,2.352,0
2003,158,1700,6/7/03,2.247,0
2003,158,1800,6/7/03,1.344,0
2003,158,1900,6/7/03,0.509,0.508
2003,158,2000,6/7/03,0.702,0
2003,158,2100,6/7/03,0.387,0.508
2003,158,2200,6/7/03,0.036,0.508
2003,158,2300,6/7/03,-0.231,0
2003,158,2400,6/7/03,-0.663,0
2003,159,100,6/8/03,-0.929,0
2003,159,200,6/8/03,-0.885,0
2003,159,300,6/8/03,-0.952,0
2003,159,400,6/8/03,-0.972,0
2003,159,500,6/8/03,-1.171,0
2003,159,600,6/8/03,-1.007,0
2003,159,700,6/8/03,-0.679,0
2003,159,800,6/8/03,-0.297,0
2003,159,900,6/8/03,-0.711,0
2003,159,1000,6/8/03,0.02,2.54
2003,159,1100,6/8/03,0.424,0.254
2003,159,1200,6/8/03,1.046,0
2003,159,1300,6/8/03,1.518,0
2003,159,1400,6/8/03,0.434,0
2003,159,1500,6/8/03,-0.299,0.508
2003,159,1600,6/8/03,-0.361,0
2003,159,1700,6/8/03,-0.215,0
2003,159,1800,6/8/03,0.563,0
2003,159,1900,6/8/03,0.279,0
2003,159,2000,6/8/03,-0.141,0
2003,159,2100,6/8/03,-0.529,0
2003,159,2200,6/8/03,-0.861,0
2003,159,2300,6/8/03,-1.094,0
2003,159,2400,6/8/03,-1.212,0
2003,160,100,6/9/03,-1.408,0
2003,160,200,6/9/03,-1.516,0
2003,160,300,6/9/03,-1.729,0
2003,160,400,6/9/03,-1.941,0
2003,160,500,6/9/03,-1.944,0
2003,160,600,6/9/03,-2.012,0
2003,160,700,6/9/03,-2.133,0
2003,160,800,6/9/03,-2.28,0
2003,160,900,6/9/03,-2.362,0
2003,160,1000,6/9/03,-1.894,0.254
2003,160,1100,6/9/03,-1.481,0.254
2003,160,1200,6/9/03,-1.135,0.254
2003,160,1300,6/9/03,-1.051,0.254
2003,160,1400,6/9/03,-1.093,0.762
2003,160,1500,6/9/03,-1.279,0
2003,160,1600,6/9/03,-1.363,0
2003,160,1700,6/9/03,-1.441,0
2003,160,1800,6/9/03,-1.138,0
2003,160,1900,6/9/03,-1.24,0
2003,160,2000,6/9/03,-1.024,0
2003,160,2100,6/9/03,-1.143,0
2003,160,2200,6/9/03,-1.357,0
2003,160,2300,6/9/03,-1.778,0
2003,160,2400,6/9/03,-1.95,0
2003,161,100,6/10/03,-2.07,0
2003,161,200,6/10/03,-2.069,0
2003,161,300,6/10/03,-2.418,0
2003,161,400,6/10/03,-2.778,0
2003,161,500,6/10/03,-3.066,0
2003,161,600,6/10/03,-3.289,0
2003,161,700,6/10/03,-3.075,0
2003,161,800,6/10/03,-2.844,0
2003,161,900,6/10/03,-2.697,0
2003,161,1000,6/10/03,-2.758,0
2003,161,1100,6/10/03,-2.585,0
2003,161,1200,6/10/03,-2.243,0
2003,161,1300,6/10/03,0.186,0
2003,161,1400,6/10/03,1.167,0
2003,161,1500,6/10/03,1.798,0
2003,161,1600,6/10/03,2.447,0
2003,161,1700,6/10/03,2.017,0
2003,161,1800,6/10/03,2.447,0
2003,161,1900,6/10/03,1.143,0
2003,161,2000,6/10/03,1.137,0
2003,161,2100,6/10/03,0.955,0
2003,161,2200,6/10/03,0.516,0
2003,161,2300,6/10/03,0.387,0
2003,161,2400,6/10/03,0.33,0
2003,162,100,6/11/03,-0.141,0
2003,162,200,6/11/03,-0.406,0
2003,162,300,6/11/03,-0.87,0
2003,162,400,6/11/03,-1.523,0
2003,162,500,6/11/03,-1.31,0
2003,162,600,6/11/03,-1.626,0
2003,162,700,6/11/03,-0.821,0
2003,162,800,6/11/03,0.242,0
2003,162,900,6/11/03,0.615,0
2003,162,1000,6/11/03,0.686,0
2003,162,1100,6/11/03,1.221,0
2003,162,1200,6/11/03,2.28,0
2003,162,1300,6/11/03,2.74,0
2003,162,1400,6/11/03,3.325,0
2003,162,1500,6/11/03,2.586,0
2003,162,1600,6/11/03,2.276,0
2003,162,1700,6/11/03,1.747,0
2003,162,1800,6/11/03,1.588,0
2003,162,1900,6/11/03,1.009,0
2003,162,2000,6/11/03,0.551,0
2003,162,2100,6/11/03,0.569,0
2003,162,2200,6/11/03,0.632,0
2003,162,2300,6/11/03,-0.049,0
2003,162,2400,6/11/03,-0.669,0
2003,163,100,6/12/03,-1.27,0
2003,163,200,6/12/03,-1.657,0
2003,163,300,6/12/03,-1.976,0
2003,163,400,6/12/03,-2.6,0
2003,163,500,6/12/03,-3.106,0
2003,163,600,6/12/03,-3.471,0
2003,163,700,6/12/03,-2.523,0
2003,163,800,6/12/03,-1.922,0
2003,163,900,6/12/03,-1.829,0
2003,163,1000,6/12/03,-1.536,0
2003,163,1100,6/12/03,-0.479,0
2003,163,1200,6/12/03,-1.069,0
2003,163,1300,6/12/03,-0.721,0
2003,163,1400,6/12/03,0.448,0
2003,163,1500,6/12/03,0.775,0
2003,163,1600,6/12/03,-0.009,0
2003,163,1700,6/12/03,0.904,0
2003,163,1800,6/12/03,-0.141,0
2003,163,1900,6/12/03,-0.968,0
2003,163,2000,6/12/03,-1.479,0
2003,163,2100,6/12/03,-1.525,0
2003,163,2200,6/12/03,-1.614,0
2003,163,2300,6/12/03,-1.924,0
2003,163,2400,6/12/03,-2.395,0
2003,164,100,6/13/03,-2.95,0
2003,164,200,6/13/03,-3.435,0
2003,164,300,6/13/03,-4.288,0
2003,164,400,6/13/03,-5.385,0
2003,164,500,6/13/03,-5.61,0
2003,164,600,6/13/03,-6.099,0
2003,164,700,6/13/03,-5.456,0
2003,164,800,6/13/03,-5.1,0
2003,164,900,6/13/03,-4.422,0
2003,164,1000,6/13/03,-4.026,0
2003,164,1100,6/13/03,-3.607,0
2003,164,1200,6/13/03,-3.347,0
2003,164,1300,6/13/03,-2.947,0
2003,164,1400,6/13/03,-2.413,0
2003,164,1500,6/13/03,-1.471,0
2003,164,1600,6/13/03,-1.557,0
2003,164,1700,6/13/03,-0.613,0
2003,164,1800,6/13/03,0.214,0
2003,164,1900,6/13/03,0.23,0
2003,164,2000,6/13/03,0.314,0
2003,164,2100,6/13/03,0.401,0
2003,164,2200,6/13/03,0.419,0
2003,164,2300,6/13/03,-0.115,0
2003,164,2400,6/13/03,-1.079,0
2003,165,100,6/14/03,-1.748,0
2003,165,200,6/14/03,-2.168,0
2003,165,300,6/14/03,-2.606,0
2003,165,400,6/14/03,-3.338,0
2003,165,500,6/14/03,-3.541,0
2003,165,600,6/14/03,-3.657,0
2003,165,700,6/14/03,-3.341,0
2003,165,800,6/14/03,-2.461,0
2003,165,900,6/14/03,-2.592,0
2003,165,1000,6/14/03,-2.106,0
2003,165,1100,6/14/03,-0.282,0
2003,165,1200,6/14/03,0.223,0
2003,165,1300,6/14/03,0.951,0
2003,165,1400,6/14/03,1.976,0
2003,165,1500,6/14/03,2.332,0
2003,165,1600,6/14/03,2.03,0
2003,165,1700,6/14/03,2.162,0
2003,165,1800,6/14/03,2.476,0
2003,165,1900,6/14/03,2.285,0
2003,165,2000,6/14/03,1.428,0
2003,165,2100,6/14/03,0.418,0
2003,165,2200,6/14/03,-0.387,0
2003,165,2300,6/14/03,-0.593,0
2003,165,2400,6/14/03,-0.951,0
2003,166,100,6/15/03,-1.165,0
2003,166,200,6/15/03,-1.331,0
2003,166,300,6/15/03,-1.57,0
2003,166,400,6/15/03,-1.936,0
2003,166,500,6/15/03,-2.135,0
2003,166,600,6/15/03,-2.394,0
2003,166,700,6/15/03,-2.589,0
2003,166,800,6/15/03,-2.408,0
2003,166,900,6/15/03,-2.209,0
2003,166,1000,6/15/03,-1.95,0
2003,166,1100,6/15/03,-1.301,0
2003,166,1200,6/15/03,-1.026,0
2003,166,1300,6/15/03,-1.52,0
2003,166,1400,6/15/03,-1.143,0
2003,166,1500,6/15/03,-0.945,0
2003,166,1600,6/15/03,-1.743,0
2003,166,1700,6/15/03,-1.755,0.508
2003,166,1800,6/15/03,-1.959,0
2003,166,1900,6/15/03,-1.802,0
2003,166,2000,6/15/03,-2.2,0
2003,166,2100,6/15/03,-1.916,0
2003,166,2200,6/15/03,-1.668,0
2003,166,2300,6/15/03,-2.055,0
2003,166,2400,6/15/03,-2.57,0
2003,167,100,6/16/03,-2.862,0
2003,167,200,6/16/03,-3.296,0
2003,167,300,6/16/03,-3.597,0
2003,167,400,6/16/03,-3.803,0
2003,167,500,6/16/03,-3.771,0
2003,167,600,6/16/03,-3.802,0
2003,167,700,6/16/03,-3.698,0
2003,167,800,6/16/03,-3.633,0
2003,167,900,6/16/03,-3.587,0
2003,167,1000,6/16/03,-3.807,0
2003,167,1100,6/16/03,-3.404,0
2003,167,1200,6/16/03,-3.076,0
2003,167,1300,6/16/03,-2.793,0
2003,167,1400,6/16/03,-2.426,0.762
2003,167,1500,6/16/03,-2.071,1.016
2003,167,1600,6/16/03,-1.752,0.254
2003,167,1700,6/16/03,-1.805,0
2003,167,1800,6/16/03,-1.636,0
2003,167,1900,6/16/03,-1.856,0
2003,167,2000,6/16/03,-2.389,0
2003,167,2100,6/16/03,-2.82,0
2003,167,2200,6/16/03,-3.075,0
2003,167,2300,6/16/03,-3.498,0
2003,167,2400,6/16/03,-3.671,0
2003,168,100,6/17/03,-3.823,0
2003,168,200,6/17/03,-3.85,0
2003,168,300,6/17/03,-4.063,0
2003,168,400,6/17/03,-4.319,0
2003,168,500,6/17/03,-4.576,0
2003,168,600,6/17/03,-4.654,0
2003,168,700,6/17/03,-4.686,0
2003,168,800,6/17/03,-4.706,0
2003,168,900,6/17/03,-4.652,0
2003,168,1000,6/17/03,-4.827,0
2003,168,1100,6/17/03,-5.188,0
2003,168,1200,6/17/03,-3.55,0
2003,168,1300,6/17/03,-3.746,0.254
2003,168,1400,6/17/03,-2.992,0
2003,168,1500,6/17/03,-2.227,0
2003,168,1600,6/17/03,-1.103,1.016
2003,168,1700,6/17/03,-1.177,0
2003,168,1800,6/17/03,-1.333,0
2003,168,1900,6/17/03,-2.102,0
2003,168,2000,6/17/03,-2.214,0
2003,168,2100,6/17/03,-2.59,0
2003,168,2200,6/17/03,-3.176,0
2003,168,2300,6/17/03,-3.226,0
2003,168,2400,6/17/03,-3.258,0
2003,169,100,6/18/03,-3.259,0
2003,169,200,6/18/03,-3.254,0
2003,169,300,6/18/03,-3.771,0
2003,169,400,6/18/03,-4.761,0
2003,169,500,6/18/03,-5.148,0
2003,169,600,6/18/03,-4.571,0
2003,169,700,6/18/03,-3.686,0
2003,169,800,6/18/03,-3.142,0
2003,169,900,6/18/03,-2.944,0
2003,169,1000,6/18/03,-2.451,0
2003,169,1100,6/18/03,-1.852,0
2003,169,1200,6/18/03,-1.287,0
2003,169,1300,6/18/03,-0.826,0
2003,169,1400,6/18/03,-0.638,0
2003,169,1500,6/18/03,-0.078,0
2003,169,1600,6/18/03,0.242,0
2003,169,1700,6/18/03,0.598,0
2003,169,1800,6/18/03,1.408,0
2003,169,1900,6/18/03,0.524,0
2003,169,2000,6/18/03,-0.002,0
2003,169,2100,6/18/03,-0.216,0
2003,169,2200,6/18/03,-1.314,0
2003,169,2300,6/18/03,-1.85,0
2003,169,2400,6/18/03,-1.507,0
2003,170,100,6/19/03,-3.343,0
2003,170,200,6/19/03,-2.789,0
2003,170,300,6/19/03,-4.024,0
2003,170,400,6/19/03,-5.113,0
2003,170,500,6/19/03,-5.963,0.254
2003,170,600,6/19/03,-6.315,0
2003,170,700,6/19/03,-5.932,0
2003,170,800,6/19/03,-5.209,0
2003,170,900,6/19/03,-4.974,0
2003,170,1000,6/19/03,-4.583,0
2003,170,1100,6/19/03,-4.246,0
2003,170,1200,6/19/03,-3.487,0
2003,170,1300,6/19/03,-2.916,0
2003,170,1400,6/19/03,-2.559,0
2003,170,1500,6/19/03,-2.143,0
2003,170,1600,6/19/03,-2.757,0
2003,170,1700,6/19/03,-3.242,0
2003,170,1800,6/19/03,-3.379,0
2003,170,1900,6/19/03,-2.59,0
2003,170,2000,6/19/03,-2.809,0
2003,170,2100,6/19/03,-2.584,0
2003,170,2200,6/19/03,-2.555,0
2003,170,2300,6/19/03,-3.772,0
2003,170,2400,6/19/03,-4.164,0
2003,171,100,6/20/03,-4.93,0
2003,171,200,6/20/03,-5.416,0
2003,171,300,6/20/03,-5.596,0
2003,171,400,6/20/03,-5.918,0
2003,171,500,6/20/03,-6.106,0
2003,171,600,6/20/03,-6.178,0
2003,171,700,6/20/03,-5.764,0
2003,171,800,6/20/03,-5.129,0
2003,171,900,6/20/03,-4.252,0
2003,171,1000,6/20/03,-3.362,0
2003,171,1100,6/20/03,-2.445,0
